month,"Beef, with bones, kg","Beef, without bones, kg","Mutton, with bones, kg","Goat meat, with bones, kg","Chicken, thigh, kg, imported","Horse meat, with bones, kg"
12/1/2010,4060,4640,3710,2590,4420,2710
1/1/2011,4800,5380,4205,3165,4285,3460
2/1/2011,4800,5415,4250,3395,4195,3605
3/1/2011,4405,5070,3810,3260,4090,3535
4/1/2011,4235,4845,3610,2805,3910,3290
5/1/2011,4665,5160,4105,3045,3830,3370
6/1/2011,4785,5290,4040,3050,3850,3630
7/1/2011,4915,5515,4244,3180,3750,3705
8/1/2011,4750,5365,4255,3260,3600,3690
9/1/2011,4760,5265,4325,3270,3750,3650
10/1/2011,4670,5250,4135,3265,3630,3640
11/1/2011,4695,5280,4100,3250,3630,3520
12/1/2011,4850,5445,4405,3415,3690,3720
1/1/2012,5430,6080,4985,4135,3770,4360
2/1/2012,6650,7400,5905,4460,3925,4830
3/1/2012,7365,8505,7025,5565,3950,6230
4/1/2012,7630,8665,7015,5480,4035,6160
5/1/2012,7750,9110,7190,5530,4035,6180
6/1/2012,8180,9300,7200,5815,4275,6460
7/1/2012,8070,9260,7600,5855,4350,6375
8/1/2012,7850,8870,7200,5840,5500,6150
9/1/2012,7395,8460,6915,5750,4650,5810
10/1/2012,7020,8285,6230,5010,6560,5220
11/1/2012,6980,8140,6130,4750,6560,5475
12/1/2012,7170,8245,6250,4705,6560,5520
1/1/2013,7337,8454,6478,5144,6560,5637
2/1/2013,8025,9000,7095,5840,6000,6170
3/1/2013,7895,9300,7060,5850,5425,6250
4/1/2013,8330,9970,7420,6155,5000,6215
5/1/2013,8380,9970,7490,6150,4985,6400
6/1/2013,8270,9920,7470,6090,5045,6395
7/1/2013,8230,9890,7420,6050,4845,6290
8/1/2013,7710,9600,6710,5830,4855,5730
9/1/2013,7825,9565,6540,5950,5070,6140
10/1/2013,7250,9150,6215,5430,5040,5390
11/1/2013,7116,8751,6083,4876,5040,5411
12/1/2013,7280,8860,6250,5020,5040,5670
1/1/2014,7980,9830,6850,5550,5040,6430
2/1/2014,8350,9840,7400,5670,5000,6500
3/1/2014,8440,9970,7560,5720,5455,6545
4/1/2014,8370,10470,7630,5650,6500,6600
5/1/2014,8685,10730,7800,5780,6980,6725
6/1/2014,8730,10780,7685,6080,7049.5,6605
7/1/2014,7810,9610,6960,6200,7182.78,6200
8/1/2014,7591.25,8835,6585,5738.75,7261.11,5728.75
9/1/2014,7633,9410,6392,5623,7261.11,5664
10/1/2014,7550,9716,5965,5315,7261.11,5518
11/1/2014,7490,9520,5836,4980,6626.67,5390
12/1/2014,7465,9395,5825,4735,6526.67,5435
1/1/2015,8090,9742,6778,4931,6799,5675
2/1/2015,8132,9781,6925,5012,6799,5675
3/1/2015,8236,9840,7272,5558,6799,5750
4/1/2015,8514,10347,7837,6234,6843,5954
5/1/2015,8562,10691,7973,6312,6843,6037
6/1/2015,8662,10894,7858,6343,6800,6225
7/1/2015,8476,10600,7384,5889,6800,6159
8/1/2015,8086,9545,6887,5382,6746,5575
9/1/2015,7728,9248,6293,4830,6885,5355
10/1/2015,6890,8419,5463,3995,6885,4856
11/1/2015,6524,7828,4946,3631,6923,4606
12/1/2015,6389,7603,4625,3340,6896,4714
1/1/2016,6625,7930,5247,3621,6715,4825
2/1/2016,7222,8419,5997,4204,6679,4825
3/1/2016,7396,8638,6408,4743,6679,4835
4/1/2016,8634,9976,7381,5256,6679,5650
5/1/2016,8768,10123,7335,5369,6679,5743
6/1/2016,8439,9946,7029,5225,6823,5689
7/1/2016,7869,9466,6575,5407,6838,5000
8/1/2016,7321,8667,6139,4892,6838,4818
9/1/2016,6662,8011,5645,4500,6838,4550
10/1/2016,5881,7271,4871,3849,6902,4550
11/1/2016,5862,7231,4443,3540,6779,4550
12/1/2016,6063,7524,4864,3667,6722,4550
1/1/2017,6775,8230,5648,4300,6600,4644
2/1/2017,7399,8583,6026,4379,6651,4625
3/1/2017,7779,9004,6669,4664,6651,4824
4/1/2017,7986,9345,7079,4981,6651,6315
5/1/2017,8229,9436,7235,5181,6651,6397
6/1/2017,7901,9301,6698,4918,6691,5734
7/1/2017,7835,9110,6636,4821,6721,5358
8/1/2017,7373,8515,6393,4513,6681,5325
9/1/2017,7251,8371,6208,4435,6681,5212
10/1/2017,6946,8279,5759,4131,6635,4993
11/1/2017,6708,8165,5379,3779,6623,4900
12/1/2017,6504,7975,5141,3548,6520,4900
1/1/2018,6610,8001,5232,3612,6411,5075
2/1/2018,7111,8464,5943,4067,6425,5519
3/1/2018,7729,9277,6533,4685,6425,5649
4/1/2018,8361,10016,7289,5261,6339,6075
5/1/2018,8463,10188,7488,5039,6704,6075
6/1/2018,8733,10535,7514,5188,7081,6275
7/1/2018,9082,10814,7533,5504,6921,6831
8/1/2018,8218,9981,6977,5244,7045,6274
9/1/2018,7781,9480,6412,4700,6858,6081
10/1/2018,7844,9360,6437,4815,7136,5845
11/1/2018,8002,9349,6689,4973,7536,5868
12/1/2018,8300.4,10000,6692,5319,7742.3,6377.8
1/1/2019,8854.9,10793.8,7156.3,5808.9,8067.1,6701.6
2/1/2019,8900.7,11061.5,7323.5,5966.2,8090.6,6746.9
3/1/2019,9376,11292.7,7937.6,6020.4,8233.4,6745.4
